2,200
1,800
1,800
2,300
2,300
1,800
1,200
1,200
1,300
1,200
1,000
1,500
5,000
1,600
2,000
2,000
4,000
1,200
1,600
1,200
700
1,600
1,200
1,300
5,000
1,200
1,500
1,600
1,500
1,500
1,500
1,900
1,500
900
1,500
4,500
6,000
1,600
1,800
1,300
2,000
1,500
1,500
1,500
4,500
1,500
1,200
1,200
1,600
1,600
1,500
1,600
2,900
1,800
1,300
1,200
2,900
2,900
1,800
1,000
1,600
1,500
1,500
1,800
1,600
1,800
1,200
1,800
1,800
900
1,900
1,300
1,200
1,900
1,200
1,900
1,900
1,900
1,000
1,800
1,900
1,800
1,000
2,300
2,300
1,000
1,000
1,900
1,400
1,500
2,000
2,000
1,500
1,500
2,300
2,300
1,300
2,300
1,400
2,500
2,500
2,300
2,300
2,300
1,700
1,700
1,500
1,700
1,500
2,000
2,000
1,000
1,200
1,200
1,500
1,900
1,900
2,500
2,500
1,000
1,000
1,500
2,000
28,800
24,000
24,000
900
1,800
1,200
1,300
1,400
1,000
1,900
1,900
1,900
1,800
1,500
1,500
900
1,500
1,400
1,800
1,200
1,400
1,000
1,200
1,100
1,500
1,500
1,200
1,200
2,300
2,300
1,800
1,200
1,800
800
1,650
800
2,000
2,200
2,200
2,200
2,200
1,100
1,300
1,200
1,450
1,900
1,300
1,500
1,500
1,600
4,000
1,100
1,000
1,000
2,200
1,100
1,500
2,000
1,100
1,700
2,000
1,000
2,200
1,400
2,200
2,500
1,500
2,000
2,000
1,600
1,500
800
2,900
2,900
1,200
1,300
1,700
1,200
1,000
1,800
2,200
1,000
1,500
1,500
1,500
2,500
2,500
1,000
2,900
2,900
1,500
1,100
1,500
2,000
2,000
1,500
1,500
1,500
1,500
2,900
1,200
1,800
1,200
1,200
1,500
1,800
1,800
1,200
1,500
1,700
2,500
2,500
1,200
1,200
1,800
1,800
1,000
1,000
2,500
2,500
1,500
1,500
1,600
1,500
2,900
1,000
1,300
5,700
1,000
1,000
1,000
2,000
1,400
1,400
1,400
1,400
1,400
1,000
12,900
3,500
3,500
5,500
1,300
1,300
1,600
1,000
1,000
